#Annotated with Bakta v1.9.3, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CP124099.1	15173	15331	+	FMBKCJ_04560	6.1	10.2		RefSeq:WP_010258339.1, SO:0001217, UniParc:UPI00016B339C, UniRef:UniRef100_A0A9N7G314, UniRef:UniRef50_C0RC30, UniRef:UniRef90_A0A9N7G314
CP124099.1	18165	18758	+	FMBKCJ_04580	22.7	9.3		SO:0001217, UniRef:UniRef50_O50923, UniRef:UniRef90_O50923
CP124099.1	32955	34406	+	FMBKCJ_04675	54.9	5.9		SO:0001217, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
CP124099.1	39914	40159	-	FMBKCJ_04715	9.2	4.4		
CP019844.1	144365	144553	-	FMBKCJ_05490	7.2	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
CP019844.1	157626	158060	+	FMBKCJ_05545	16.9	10.1		RefSeq:WP_010889695.1, SO:0001217, UniParc:UPI0000057387, UniRef:UniRef100_O51178, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
CP019844.1	271822	272835	-	FMBKCJ_06080	39.1	4.3		RefSeq:WP_010889720.1, SO:0001217, UniParc:UPI00000573ED, UniRef:UniRef100_O51275, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
CP019844.1	367646	368071	+	FMBKCJ_06555	16.5	9.7		SO:0001217, UniParc:UPI0000057451, UniRef:UniRef100_O51335, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
CP019844.1	415879	416295	+	FMBKCJ_06780	16.3	10.4		RefSeq:WP_002556999.1, SO:0001217, UniParc:UPI000005747C, UniRef:UniRef100_O51365, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
CP019844.1	442955	443242	-	FMBKCJ_06895	11.3	9.9		RefSeq:WP_044283513.1, SO:0001217, UniParc:UPI00052A27E0, UniRef:UniRef100_UPI00052A27E0, UniRef:UniRef50_UPI00052A27E0, UniRef:UniRef90_UPI00052A27E0
CP019844.1	534366	534788	-	FMBKCJ_07400	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
CP019844.1	563375	564868	-	FMBKCJ_07545	59.3	6.0		RefSeq:WP_044283522.1, SO:0001217, UniParc:UPI00052A3973, UniRef:UniRef100_UPI00052A3973, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
CP019844.1	643958	644326	+	FMBKCJ_07890	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
CP019844.1	661789	662103	-	FMBKCJ_07965	11.3	8.7		RefSeq:WP_010889785.1, SO:0001217, UniParc:UPI000005755D, UniRef:UniRef100_O51576, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
CP019844.1	689378	689674	+	FMBKCJ_08065	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
CP019844.1	738329	738868	+	FMBKCJ_08315	21.1	9.9		RefSeq:WP_002656268.1, SO:0001217, UniParc:UPI00000575A2, UniRef:UniRef100_O51644, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
CP019844.1	791537	792811	+	FMBKCJ_08570	48.7	4.6		RefSeq:WP_010889815.1, SO:0001217, UniParc:UPI000233F626, UniRef:UniRef100_O51690, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
CP019844.1	814064	814498	-	FMBKCJ_08690	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
CP019851.1	13002	13223	-	FMBKCJ_09100	8.6	5.7	PF05714.15|PFam54_60	PFAM:PF05714.15, RefSeq:WP_010258242.1, SO:0001217, UniParc:UPI00016B30E2, UniRef:UniRef100_G5IXH9, UniRef:UniRef50_G5IXH9, UniRef:UniRef90_G5IXH9
CP019851.1	15055	15411	-	FMBKCJ_09110	14.3	9.4		RefSeq:WP_010883928.1, SO:0001217, UniParc:UPI000005696E, UniRef:UniRef100_Q44728, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
CP019846.1	4415	4555	+	FMBKCJ_09280	5.2	4.6		SO:0001217, UniRef:UniRef50_UPI001F22C4DF
CP019846.1	5755	5868	+	FMBKCJ_09300	4.2	7.9		
CP019846.1	5823	6131	+	FMBKCJ_09305	11.8	9.8		
CP019846.1	27525	27908	+	FMBKCJ_09460	14.5	4.3		
CP019847.1	28067	28249	+	FMBKCJ_09680	6.9	7.9		RefSeq:WP_012664891.1, SO:0001217, UniParc:UPI000005767B, UniRef:UniRef100_UPI000005767B, UniRef:UniRef50_UPI000005767B, UniRef:UniRef90_UPI000005767B
CP019848.1	1306	1458	+	FMBKCJ_09700	6.0	4.9		
CP019848.1	21974	22252	+	FMBKCJ_09865	10.7	4.5		
CP019849.1	1306	1476	+	FMBKCJ_09925	6.9	6.3		
CP019849.1	2009	2185	+	FMBKCJ_09935	6.5	8.1		
CP019850.1	3825	3953	+	FMBKCJ_10165	4.4	9.7		SO:0001217, UniRef:UniRef50_B9X9J8
CP019850.1	25487	25708	-	FMBKCJ_10345	8.6	9.8		SO:0001217, UniRef:UniRef50_A0A1G4Q5U4
CP019850.1	27955	28473	+	FMBKCJ_10360	20.3	9.2		RefSeq:WP_012593060.1, SO:0001217, UniParc:UPI00017F48F3, UniRef:UniRef100_A0A0H3C438, UniRef:UniRef90_A0A0H3C438
CP019852.1	4770	4964	-	FMBKCJ_10395	7.6	11.6		SO:0001217, UniRef:UniRef50_UPI00017F3800
CP019852.1	6243	6518	+	FMBKCJ_10405	10.7	6.1		RefSeq:WP_010258413.1, SO:0001217, UniParc:UPI00016B3647, UniRef:UniRef100_O50813, UniRef:UniRef50_O50813, UniRef:UniRef90_O50813
CP019852.1	18229	18333	+	FMBKCJ_10460	4.3	8.0		
CP019852.1	18841	19041	+	FMBKCJ_10465	7.8	4.6		SO:0001217, UniRef:UniRef50_A0A7U4DIY2, UniRef:UniRef90_A0A7U4DIY2
CP019852.1	21780	22001	+	FMBKCJ_10475	8.9	9.5		SO:0001217, UniParc:UPI00000568BF, UniRef:UniRef100_O50837, UniRef:UniRef50_O50837, UniRef:UniRef90_O50837
CP019852.1	22162	22335	+	FMBKCJ_10480	6.7	9.4		RefSeq:WP_010890345.1, SO:0001217, UniParc:UPI00000568C0, UniRef:UniRef100_O50838, UniRef:UniRef50_O50838, UniRef:UniRef90_O50838
CP019852.1	22941	23525	-	FMBKCJ_10485	22.1	5.3		RefSeq:WP_052403610.1, SO:0001217, UniParc:UPI0003233FA8, UniRef:UniRef100_UPI0003233FA8, UniRef:UniRef50_A0A0H3BZV3, UniRef:UniRef90_A0A0H3BZV3
CP019852.1	24161	24538	+	FMBKCJ_10495	13.9	5.6		RefSeq:WP_015899368.1, SO:0001217, UniParc:UPI00000568C3, UniRef:UniRef100_UPI00000568C3, UniRef:UniRef50_UPI00016B379E, UniRef:UniRef90_UPI00016B379E
CP019852.1	26453	26671	-	FMBKCJ_10510	8.3	5.0		RefSeq:WP_010890349.1, SO:0001217, UniParc:UPI00000568C6, UniRef:UniRef100_O50844, UniRef:UniRef50_O50844, UniRef:UniRef90_O50844
CP019853.1	927	1211	+	FMBKCJ_10565	10.9	9.0	PF05714.15|PFam54_60	PFAM:PF05714.15
CP019853.1	8870	9145	-	FMBKCJ_10585	10.4	9.9		SO:0001217, UniRef:UniRef50_O50768, UniRef:UniRef90_O50768
CP019853.1	10033	10161	-	FMBKCJ_10590	4.9	10.2		
CP019853.1	34385	34681	-	FMBKCJ_10680	11.1	9.9		RefSeq:WP_010257615.1, SO:0001217, UniParc:UPI000005689B, UniRef:UniRef100_O50801, UniRef:UniRef50_O50801, UniRef:UniRef90_O50801
CP019853.1	37428	37646	-	FMBKCJ_10700	7.7	9.5		
CP019853.1	38362	38535	-	FMBKCJ_10710	6.5	10.1		RefSeq:WP_157658503.1, SO:0001217, UniParc:UPI000301E9DF, UniRef:UniRef100_UPI000301E9DF, UniRef:UniRef50_UPI001304CA02, UniRef:UniRef90_UPI001304CA02
CP019854.1	15148	15306	+	FMBKCJ_10805	6.1	10.2		RefSeq:WP_010259080.1, SO:0001217, UniParc:UPI0000056910, UniRef:UniRef100_UPI0000056910, UniRef:UniRef50_C0RC30, UniRef:UniRef90_A0A9N7G314
CP019854.1	18128	18721	+	FMBKCJ_10825	22.7	9.1		RefSeq:WP_010890382.1, SO:0001217, UniParc:UPI0000056917, UniRef:UniRef100_O50923, UniRef:UniRef50_O50923, UniRef:UniRef90_O50923
CP019854.1	32969	34366	+	FMBKCJ_10920	52.8	6.5		RefSeq:WP_012622802.1, SO:0001217, UniParc:UPI000005692B, UniRef:UniRef100_A0A7U4DJ15, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
CP019855.1	2160	2354	-	FMBKCJ_11050	7.8	6.7		
CP019855.1	6336	6674	-	FMBKCJ_11080	13.6	9.7		
CP019855.1	31892	32458	+	FMBKCJ_11265	21.8	9.1		RefSeq:WP_010883937.1, SO:0001217, UniParc:UPI0000057752, UniRef:UniRef100_Q9RZY1, UniRef:UniRef90_Q9S073
CP019855.1	37816	38196	-	FMBKCJ_11300	14.3	6.7		RefSeq:WP_231013320.1, SO:0001217, UniParc:UPI0003F834B4, UniRef:UniRef100_UPI0000057758, UniRef:UniRef50_UPI0000057758, UniRef:UniRef90_UPI0000057758
CP019855.1	38565	39077	-	FMBKCJ_11305	19.4	8.8		RefSeq:WP_083013073.1, SO:0001217, UniParc:UPI0009F1771F, UniRef:UniRef100_UPI0009F1771F, UniRef:UniRef50_UPI00016C5603, UniRef:UniRef90_UPI0004280BBD
CP019855.1	39802	39933	-	FMBKCJ_11310	5.0	4.2		
CP019855.1	39959	40186	-	FMBKCJ_11315	8.6	8.7		RefSeq:WP_024705874.1, SO:0001217, UniParc:UPI000005775D, UniRef:UniRef100_UPI000005775D, UniRef:UniRef50_UPI001E5DCC1C, UniRef:UniRef90_UPI001E5DCC1C
CP019855.1	43915	44196	-	FMBKCJ_11325	11.3	10.0		RefSeq:WP_038379685.1, SO:0001217, UniParc:UPI00016C583C, UniRef:UniRef100_UPI0000057760, UniRef:UniRef50_A0A1L8ZA91, UniRef:UniRef90_A0A1L8ZA91
CP019855.1	44714	44983	+	FMBKCJ_11330	10.6	9.5		RefSeq:WP_012672645.1, SO:0001217, UniParc:UPI00016C583D, UniRef:UniRef100_UPI00016C583D, UniRef:UniRef50_UPI00016C583D, UniRef:UniRef90_UPI00016C583D
CP019855.1	51173	51529	-	FMBKCJ_11345	14.3	9.4		RefSeq:WP_010883928.1, SO:0001217, UniParc:UPI000005696E, UniRef:UniRef100_Q44728, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
CP002312.1	144221	144409	-	FMBKCJ_12055	7.3	9.3		SO:0001217, UniRef:UniRef50_G0AKV4, UniRef:UniRef90_G0AKV4
CP002312.1	157483	157917	+	FMBKCJ_12110	16.9	10.1		RefSeq:WP_002556754.1, SO:0001217, UniParc:UPI00016B2B02, UniRef:UniRef100_A0A0H3C1D3, UniRef:UniRef50_O51178, UniRef:UniRef90_O51178
CP002312.1	272346	273359	-	FMBKCJ_12645	39.1	4.3		RefSeq:WP_010889720.1, SO:0001217, UniParc:UPI00000573ED, UniRef:UniRef100_O51275, UniRef:UniRef50_B7XST3, UniRef:UniRef90_O51275
CP002312.1	368180	368605	+	FMBKCJ_13120	16.5	9.7		SO:0001217, UniRef:UniRef50_O51335, UniRef:UniRef90_O51335
CP002312.1	416416	416832	+	FMBKCJ_13345	16.3	10.4		RefSeq:WP_002556999.1, SO:0001217, UniParc:UPI000005747C, UniRef:UniRef100_O51365, UniRef:UniRef50_B9X884, UniRef:UniRef90_O51365
CP002312.1	534887	535309	-	FMBKCJ_13960	16.5	10.2		RefSeq:WP_002557113.1, SO:0001217, UniParc:UPI00000574F5, UniRef:UniRef100_O51475, UniRef:UniRef50_W5SET4, UniRef:UniRef90_O51475
CP002312.1	563902	565395	-	FMBKCJ_14105	59.3	5.7		RefSeq:WP_014540309.1, SO:0001217, UniParc:UPI0001F23CCE, UniRef:UniRef100_UPI0001F23CCE, UniRef:UniRef50_D6RY37, UniRef:UniRef90_G0ALZ4
CP002312.1	644499	644867	+	FMBKCJ_14450	14.6	5.3		RefSeq:WP_002557204.1, SO:0001217, UniParc:UPI000005754F, UniRef:UniRef100_O51562, UniRef:UniRef50_O51562, UniRef:UniRef90_O51562
CP002312.1	662323	662637	-	FMBKCJ_14525	11.3	8.7		RefSeq:WP_002656819.1, SO:0001217, UniParc:UPI00016B2F7F, UniRef:UniRef100_UPI00016B2F7F, UniRef:UniRef50_O51576, UniRef:UniRef90_O51576
CP002312.1	689917	690213	+	FMBKCJ_14625	11.4	5.4		RefSeq:WP_002656076.1, SO:0001217, UniParc:UPI00016B30F1, UniRef:UniRef100_O51594, UniRef:UniRef50_O51594, UniRef:UniRef90_O51594
CP002312.1	738855	739112	+	FMBKCJ_14875	10.0	10.6		SO:0001217, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
CP002312.1	739130	739393	+	FMBKCJ_14880	10.3	7.8		SO:0001217, UniRef:UniRef50_D6RW52, UniRef:UniRef90_O51644
CP002312.1	792062	793336	+	FMBKCJ_15135	48.6	4.6		RefSeq:WP_014540377.1, SO:0001217, UniParc:UPI0001F240DF, UniRef:UniRef100_UPI0001F240DF, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
CP002312.1	814589	815023	-	FMBKCJ_15255	17.6	9.3		RefSeq:WP_002557361.1, SO:0001217, UniParc:UPI00000575E7, UniRef:UniRef100_O51714, UniRef:UniRef50_O51714, UniRef:UniRef90_O51714
CP002312.1	907239	907496	+	FMBKCJ_15615	10.3	8.6		SO:0001217, UniRef:UniRef50_A0A7U8EX85, UniRef:UniRef90_A0A7U8EX85
CP002312.1	910109	910324	+	FMBKCJ_15625	8.4	9.9		
CP002312.1	918627	918914	-	FMBKCJ_15655	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
CP002312.1	918907	919005	-	FMBKCJ_15660	4.0	9.7		
CP002312.1	921888	922079	-	FMBKCJ_15675	7.8	6.6		RefSeq:WP_012622447.1, SO:0001217, UniParc:UPI00016B34DB, UniRef:UniRef100_A0A7U4DIT2, UniRef:UniRef50_A0A7U4DIT2, UniRef:UniRef90_A0A7U4DIT2
CP002310.1	2010	3317	+	FMBKCJ_15825	47.6	5.4		
CP002310.1	10076	10240	+	FMBKCJ_15885	6.0	8.1		SO:0001217, UniRef:UniRef50_UPI001E5978E2, UniRef:UniRef90_UPI001E5978E2
CP002310.1	12981	13136	+	FMBKCJ_15915	5.8	4.1		
CP002323.1	10909	11151	+	FMBKCJ_16330	9.2	6.5		SO:0001217, UniRef:UniRef50_A0A806CMZ2
CP002309.1	27278	27805	+	FMBKCJ_16655	20.8	9.1		RefSeq:WP_012621486.1, SO:0001217, UniParc:UPI00016B2C5B, UniRef:UniRef100_A0A9N7ARY7, UniRef:UniRef90_A0A0H3C0R6
CP002309.1	27987	28553	+	FMBKCJ_16660	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
CP002320.1	27083	27610	+	FMBKCJ_17065	20.8	9.1		RefSeq:WP_012621486.1, SO:0001217, UniParc:UPI00016B2C5B, UniRef:UniRef100_A0A9N7ARY7, UniRef:UniRef90_A0A0H3C0R6
CP002320.1	27792	28358	+	FMBKCJ_17070	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
CP002322.1	22023	22373	+	FMBKCJ_17670	13.7	5.1	PF02524.18|KID	PFAM:PF02524.18
CP002322.1	28073	28600	+	FMBKCJ_17700	20.8	9.1		RefSeq:WP_012599439.1, SO:0001217, UniParc:UPI00016B3BBA, UniRef:UniRef100_A0A7I6GXU7, UniRef:UniRef90_A0A0H3C0R6
CP002313.1	1	225	-	FMBKCJ_17715	8.7	4.8		
CP002313.1	5601	5699	+	FMBKCJ_17745	3.9	9.1		
CP002308.1	20794	21177	-	FMBKCJ_17870	14.2	10.1		
CP002306.1	771	911	-	FMBKCJ_17885	5.5	9.5		
CP002306.1	2854	3111	-	FMBKCJ_17895	10.3	8.6		SO:0001217, UniRef:UniRef50_A0A7U8EX85, UniRef:UniRef90_A0A7U8EX85
CP002306.1	5559	5681	+	FMBKCJ_17900	4.6	6.1		
CP002306.1	12417	12593	+	FMBKCJ_17930	6.5	4.3		RefSeq:WP_014540428.1, SO:0001217, UniParc:UPI0001F239D2, UniRef:UniRef100_A0A9N7B502, UniRef:UniRef50_A0A9N7B502, UniRef:UniRef90_A0A9N7B502
CP002314.1	12133	12741	+	FMBKCJ_18015	22.7	7.7		RefSeq:WP_238528647.1, SO:0001217, UniParc:UPI0003022FE2, UniRef:UniRef100_UPI0003022FE2, UniRef:UniRef50_UPI0003022FE2, UniRef:UniRef90_UPI0003022FE2
CP002314.1	12878	13228	+	FMBKCJ_18020	13.4	9.0		SO:0001217, UniRef:UniRef50_UPI001EE67C96, UniRef:UniRef90_UPI001EE67C96
CP002314.1	14021	14140	-	FMBKCJ_18025	4.4	4.6		RefSeq:WP_012614965.1, SO:0001217, UniParc:UPI00016B2E1E, UniRef:UniRef100_A0A0H3C151, UniRef:UniRef50_A0A0H3C151, UniRef:UniRef90_A0A0H3C151
CP002318.1	2201	2539	+	FMBKCJ_18085	13.2	9.2		RefSeq:WP_014540456.1, SO:0001217, UniParc:UPI0001F23BD5, UniRef:UniRef100_UPI0001F23BD5, UniRef:UniRef50_A0A806CJQ9, UniRef:UniRef90_UPI0001F23BD5
CP002318.1	3162	3518	+	FMBKCJ_18095	14.3	9.6		RefSeq:WP_012615033.1, SO:0001217, UniParc:UPI00017F4968, UniRef:UniRef100_A0A7U3YBP9, UniRef:UniRef50_Q44728, UniRef:UniRef90_A0A7U3YBP9
CP002318.1	3725	3823	+	FMBKCJ_18100	3.6	8.5		
CP002318.1	19577	19756	-	FMBKCJ_18160	6.8	6.2		SO:0001217, UniRef:UniRef50_UPI00017F2C9A, UniRef:UniRef90_UPI00017F2C9A
CP002318.1	27977	28153	+	FMBKCJ_18200	6.9	9.6		RefSeq:WP_010257051.1, SO:0001217, UniParc:UPI00016B2F6F, UniRef:UniRef100_A0A7U4DJ52, UniRef:UniRef50_A0A7U4DJ52, UniRef:UniRef90_A0A7U4DJ52
CP002317.1	3	518	-	FMBKCJ_18215	21.4	6.3		
CP002317.1	2257	2355	+	FMBKCJ_18225	3.9	9.6		
CP002317.1	2348	2635	+	FMBKCJ_18230	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
CP002317.1	18834	19040	+	FMBKCJ_18270	8.2	8.7		SO:0001217, UniRef:UniRef50_A0A7X0DQW6, UniRef:UniRef90_UPI001E48DE6B
CP002324.1	10229	10672	-	FMBKCJ_18345	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
CP002324.1	11077	11415	-	FMBKCJ_18355	13.1	5.0		RefSeq:WP_012622691.1, SO:0001217, UniParc:UPI00016B3624, UniRef:UniRef100_UPI00016B3624, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
CP002324.1	11428	12261	-	FMBKCJ_18360	31.4	6.3		RefSeq:WP_014540471.1, SO:0001217, UniParc:UPI0001F23DEC, UniRef:UniRef100_UPI0001F23DEC, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
CP002324.1	15951	16748	-	FMBKCJ_18390	30.6	9.1		RefSeq:WP_014540472.1, SO:0001217, UniParc:UPI0001F23DED, UniRef:UniRef100_UPI0001F23DED, UniRef:UniRef90_Q66YQ9
CP002324.1	16758	17540	-	FMBKCJ_18395	29.9	6.5		RefSeq:WP_014540473.1, SO:0001217, UniParc:UPI0001F23DEE, UniRef:UniRef100_UPI0001F23DEE, UniRef:UniRef90_A0A0H3C5I5
CP002324.1	20623	20994	-	FMBKCJ_18410	13.9	8.5		RefSeq:WP_012622701.1, SO:0001217, UniParc:UPI00016B3782, UniRef:UniRef100_A0A7U4DIU8, UniRef:UniRef50_O50749, UniRef:UniRef90_A0A1L8ZA88
CP002324.1	21679	22092	-	FMBKCJ_18420	16.1	9.3		RefSeq:WP_012622693.1, SO:0001217, UniParc:UPI00017F42BB, UniRef:UniRef100_A0A7U4DIU7, UniRef:UniRef50_O50751, UniRef:UniRef90_A0A1L8ZA81
CP002324.1	26049	26813	-	FMBKCJ_18445	29.7	9.8		RefSeq:WP_014540479.1, SO:0001217, UniParc:UPI0001F23DF4, UniRef:UniRef100_UPI0001F23DF4, UniRef:UniRef50_O50757, UniRef:UniRef90_A0A0H3C5A6
CP002319.1	4749	4964	+	FMBKCJ_18465	8.6	9.6		RefSeq:WP_010256711.1, SO:0001217, UniParc:UPI00017F3A61, UniRef:UniRef100_UPI00017F3A61, UniRef:UniRef50_UPI00017F3A61, UniRef:UniRef90_UPI00017F3A61
CP002319.1	12669	13112	-	FMBKCJ_18505	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
CP002319.1	13517	13855	-	FMBKCJ_18515	13.1	5.0		RefSeq:WP_010256666.1, SO:0001217, UniParc:UPI00017F38EE, UniRef:UniRef100_UPI00017F38EE, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
CP002319.1	13868	14701	-	FMBKCJ_18520	31.4	6.4		RefSeq:WP_010256663.1, SO:0001217, UniParc:UPI00017F38ED, UniRef:UniRef100_UPI00017F38ED, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
CP002319.1	18391	19188	-	FMBKCJ_18550	30.4	8.2		
CP002319.1	19198	19980	-	FMBKCJ_18555	29.8	6.0		RefSeq:WP_014540506.1, SO:0001217, UniParc:UPI0001F23BF5, UniRef:UniRef100_UPI0001F23BF5, UniRef:UniRef90_A0A0H3C5I5
CP002319.1	23020	23394	-	FMBKCJ_18570	14.0	5.6		RefSeq:WP_010256627.1, SO:0001217, UniParc:UPI0000056866, UniRef:UniRef100_O50749, UniRef:UniRef50_O50749, UniRef:UniRef90_O50749
CP002319.1	24083	24469	-	FMBKCJ_18580	14.9	9.2		RefSeq:WP_010256620.1, SO:0001217, UniParc:UPI0000056868, UniRef:UniRef100_O50751, UniRef:UniRef50_O50751, UniRef:UniRef90_O50751
CP002319.1	29093	29857	-	FMBKCJ_18610	29.2	9.9		RefSeq:WP_014540508.1, SO:0001217, UniParc:UPI0001F23BF8, UniRef:UniRef100_UPI0001F23BF8, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
